128,143,184,144,177,431,121,429
691,244,730,243,743,951,703,952
658,312,700,312,700,886,658,886
734,316,786,316,786,874,734,874
142,450,166,450,166,536,142,536
578,442,598,442,598,474,578,474
412,446,434,446,434,486,412,486
450,446,481,445,484,637,454,638
496,444,518,444,518,514,496,514
531,441,572,442,569,686,529,685
352,446,395,445,403,723,359,724
194,448,231,447,241,799,205,801
260,446,303,445,309,685,266,686
320,446,340,446,340,486,320,486
136,610,182,609,188,867,142,868
626,996,649,995,652,1115,629,1116
665,1210,931,1205,932,1235,666,1240
